name,description,price,category,image_url,tags,age_min,age_max,capacity
Race Car Obstacle,"Ideal for corporate events and family gatherings, our Race Car Obstacle guarantees TSSA-certified fun with a thrilling racing theme for all ages.",740,Obstacle Courses,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/racecar-obst.webp,tssa,4,,8
Large Obstacle - TSSA,Our largest obstacle course with maximum challenge elements. High-capacity design handles big crowds at corporate events and community festivals.,840,Obstacle Courses,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/lg-obstacle.webp,tssa,4,,10
Kings Challenge,"Ideal for team building events and parties, the Kings Challenge adds excitement with its colorful design and TSSA-certified safety.",840,Obstacle Courses,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/the-kings-challenge.webp,tssa,3,,
Animal Ranch,Farm-themed fun with friendly barnyard animals. Sized right for toddlers with enclosed walls for safe bouncing.,345,Toddler Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/animal-ranch-redline-inflatables.webp,popular,1,5,8
Express Train,"All-aboard this train station bounce house—a toddler favorite with vibrant colors and safe, enclosed bouncing. TSSA certified.",499,Toddler Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/toddler/20250525-094115-1769060717679.webp,popular;tssa,1,5,8
Animal Kingdom,Colorful jungle-themed combo keeps toddlers entertained with bouncing and sliding. Perfect for birthday parties. TSSA certified.,475,Toddler Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/animal-kingdom-toddler-rental.webp,tssa,2,,8
Chopperville,Helicopter-themed adventure sized for little pilots. Safe enclosed bouncing with vibrant aviation graphics. TSSA certified.,499,Toddler Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/chopperville-side.webp,tssa,1,5,8
QB Blitz,"Ideal for corporate team building or school fairs, this competitive sports inflatable tests accuracy while maintaining high safety standards for all participants.",349,Inflatable Sports,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/football-challenge.webp,popular,6,,
5-1 Sports Challenge,"Ideal for high-energy corporate events and festivals, this versatile sports station offers professional-grade competition for participants of all ages.",350,Inflatable Sports,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/5-1sports.webp,popular,6,,
Penguin Hover Ball,"Ideal for family events, the Penguin Hover Ball offers safe, interactive fun for ages 5 to adult, accommodating 2-4 participants.",275,Inflatable Sports,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/inflatable-sports/community-events.webp,popular,5,,4
3-1 Country Fest Sport,"""Ideal for school events and festivals, this 3-in-1 inflatable promises non-stop fun while ensuring safety and TSSA compliance.""",399,Inflatable Sports,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/3-1-country-fest-sport-1771890867163.jpg,tssa,4,,6
Baseball pro,"Perfect for corporate team building or community festivals, this interactive challenge promotes active competition with professional-grade safety standards and high-energy excitement. Suitable for public events.",275,Inflatable Sports,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/baseball-inflatable.webp,,4,,
Airhose Hockey,"Perfect for corporate events and team building, this professional air-powered hockey challenge provides competitive, TSSA-compliant fun for participants of all ages.",245,Inflatable Sports,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/airhose-hockey-windsor.webp,tssa,6,,
Basketball Pro,"""Ideal for corporate events and parties, the Basketball Pro offers safe, engaging entertainment with its sturdy, TSSA-compliant design.""",275,Inflatable Sports,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/basketball-pro.webp,tssa,,,
Deluxe Soccer,"Perfect for corporate team building and private events, this competitive soccer goal test offers high energy engagement for participants of any age.",245,Inflatable Sports,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/inflatable-soccer.webp,,6,,
Football Deluxe Touch Down,"""Ideal for sports events, the Football Deluxe Touch Down inflatable ensures safe, action-packed fun with high-quality construction and TSSA compliance.""",245,Inflatable Sports,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/football-deluxe-1771890670176.jpg,tssa,5,,
Football Pro,"Ideal for corporate events and fundraisers, the Football Pro offers safe, exciting play, emphasizing TSSA compliance for worry-free enjoyment.",275,Inflatable Sports,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/football-pro-1771889836663.jpg,tssa,,,
Hockey Pro,"""Ideal for sports events, the Hockey Pro inflatable enhances skills and fun, ensuring a safe, engaging experience for aspiring athletes.""",275,Inflatable Sports,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/hockey-pro-inflatable.webp,,,,
Soccer Darts/Velcro Baseball,"""Ideal for events, Soccer Darts/Velcro Baseball offers safe, competitive fun for ages 6 to adult. TSSA-licensed, ensuring high safety standards.""",299,Inflatable Sports,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/soccer-darts-1771892133506.jpg,tssa,6,,4
Zero Gravity,"""Ideal for corporate events or school functions, Zero Gravity offers thrilling, safe inflatable sports challenges that engage participants of all ages.""",299,Inflatable Sports,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/zero-gravity.webp,,,,
Zombie Attack,"Ideal for team-building events, Zombie Attack offers action-packed thrills with TSSA-compliant safety, ensuring a fun and secure sports experience.",399,Inflatable Sports,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/zombie-attack.webp,tssa,,,
Allstar Basketball,"Ideal for high-energy competitions, this attraction features dual hoops for head-to-head action, ensuring professional-grade safety for both children and adults.",245,Inflatable Sports,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/inflatable-sports/20250410-173509.webp,,6,,
Lumberjack Axe Throwing,"Ideal for team-building and events, our TSSA-certified Lumberjack Axe Throwing ensures fun with competitive spirit and safety as a priority.",550,Inflatable Sports,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/inflatable-sports/lumber-jack-throwing.webp,tssa,10,,
Connect 3™ Basketball Game,"Perfect for corporate team building, this strategic sports inflatable combines basketball skill with critical thinking for high-energy competition and safe interactive play.",350,Inflatable Sports,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/connect-4.webp,,8,,4
Foam with Gaga Pit,"""Ideal for team-building events, this safe and fun Foam with Gaga Pit provides hours of interactive entertainment, promoting cooperation and excitement.""",647,Interactive Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/foampit.webp,popular,3,12,8
Grab n Go,"Ideal for corporate events or birthday parties, the Grab n Go enhances skills and speed with TSSA-compliant safety and reliable setup.",Choose A TSSA Licensed Item,Interactive Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/grabngo.webp,popular;tssa,6,,
Velcro Wall,"Ideal for team building and carnivals, this attraction offers a high-energy photo-op for teens and adults to test their skills. Available for public events.",595,Interactive Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/velcro-wall.webp,popular,10,,2
Wipeout,The ultimate competitive inflatable challenge. Players balance on pedestals while a rotating arm sweeps around—last one standing wins. Perfect for corporate events and large gatherings.,895,Interactive Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/wipeout.webp,popular,10,,
Bungee Run,Always a crowd favorite—race head-to-head while tethered by bungee cords. Sprint to place your marker furthest before the cord snaps you back!,Choose A TSSA Licensed Item,Interactive Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/bungee-run.webp,tssa,8,,
Inflatable Track,"Ideal for organized races and relay events, this professional-grade inflatable track provides a safe, TSSA-compliant environment for high-speed athletic competition.",300,Interactive Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/racetrack1.webp,tssa,,,10
Money Machine,"""Ideal for promotional events, the Money Machine engages participants safely with interactive excitement. TSSA compliance ensures a worry-free experience for everyone.""",200,Interactive Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/t-1200-x-900-px-1.webp,tssa,8,,
Superhero Sumo Suits (Adult),"""Ideal for parties and events, these Superhero Sumo Suits offer safe, competitive fun for teens and adults without power needs.""",275,Interactive Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/sumo-suits.webp,,13,,
Superhero Sumo Suits (Kids),"""Ideal for themed parties, these superhero sumo suits offer safe, high-energy fun. TSSA-compliant, ensuring unforgettable experiences for kids aged 6-12.""",275,Interactive Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/superhero-sumo-suits-kids-1770760921874.JPG,tssa,6,12,
Whack a Mole,"Ideal for corporate team building and large events, this TSSA-licensed interactive game challenges participants with high-energy competition and professional safety standards.",495,Interactive Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/whackamole.webp,tssa,6,,6
Gladiator Joust,"Ideal for corporate events or team-building, our TSSA-certified Gladiator Joust ensures safe, competitive fun. Engage participants aged 10 to adult.",375,Interactive Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/gladiator-joust.webp,tssa,10,,
Jacob's Ladder,"Ideal for carnivals or corporate events, Jacob's Ladder challenges participants' skills safely. TSSA-certified safety guarantees reliable fun for ages 8 to adult.",795,Interactive Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/jacobs-ladder.webp,tssa,8,,
Fun Derby,"Ideal for events seeking safe excitement, Fun Derby offers TSSA-certified racing for 3-4 participants, ensuring an engaging carnival experience for all.",500,Interactive Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/fun-derby.webp,tssa,6,,4
Laser Maze,"Ideal for corporate events or family gatherings, our TSSA-certified Laser Maze guarantees an engaging experience with top-notch safety standards.",495,Interactive Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/lasertag.webp,tssa,8,,
UFO Alien Laser,"Perfect for corporate events and team building, this high-energy skill game challenges participants with fast-paced laser action and professional-grade safety standards.",495,Interactive Inflatables,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/ufo-laser-tag.webp,,8,,4
Chaos,Fast-paced reaction game where players race to slap illuminated targets. LED lights and sound effects create an exciting arcade atmosphere.,349,Electronic Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/electronic-games/chaos-overhead-play-action.webp,popular,4,,
Anti-Gravity,"Ideal for community carnivals, this TSSA-compliant game challenges players to balance floating balls using air pressure for focused, high-energy event engagement.",175,Electronic Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/gravity.webp,tssa,6,,
Chicken Flight School,"Perfect for corporate team building and fundraisers, this interactive carnival game challenges participants to launch rubber chickens with professional precision.",175,Electronic Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/chicken-flight-school-1771073171547.webp,,5,,
Play Back Deluxe,Arcade-style reaction and memory game. Follow the light sequence and test your memory against increasing difficulty.,349,Electronic Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/electronic-games/play-back-delux-play-action.webp,,,,
Mega Wire,Steady-hand challenge game with an electrified wire course. Guide the loop without touching the wire—buzzer sounds when you slip!,349,Electronic Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/mega-wire-1769233470238.jpg,,6,,
Revolution,Spinning wheel challenge that tests timing and reflexes. Stop the wheel at the right moment to score points.,349,Electronic Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/electronic-games/20251120-142927.webp,,6,,
Snatch It,Speed grabbing game where players race to snatch lit targets. Quick reflexes win in this fast-paced competition.,349,Electronic Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/electronic-games/20251120-142605.webp,,6,,
Balloon Pop,"Great for any event, Balloon Pop offers engaging entertainment with safety-first design, ensuring all participants enjoy a worry-free experience. Comes with table and red skirt",115,Electronic Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/baloonpop.webp,,,,
Clown Tooth Knockout,"Ideal for events, Clown Tooth Knockout offers safe, engaging fun. Perfect for school functions or corporate parties, accommodating two players.",115,Electronic Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/clowntooth.webp,,5,,
Mini Cornhole,"""Ideal for events, Mini Cornhole offers safe fun, promoting friendly competition and teamwork, perfect for corporate gatherings or family celebrations.""",115,Electronic Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/mini-cornhole.webp,,,,
Ring A Bottle,"""Ideal for all ages, the Ring A Bottle carnival game ensures safe, competitive fun, fitting easily into any event's setup area.""",115,Electronic Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/ring-a-bottle-ring-a-bottle-blue-carnival.webp,,4,,
Table Top Jenga,Classic stacking game supersized for outdoor fun. Tests skill and strategy for all ages. Perfect for corporate events and family gatherings.,35,Party Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/jenga.webp,popular,,,
Can Smash,"""Ideal for school events, Can Smash offers safe, engaging fun. Test your throwing skills with this exciting, competitive tub-game rental.""",65,Party Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/cansmash.webp,,,,
Colours,"Ideal for any event, tub-games like Colours offer interactive fun, ensuring safety and compliance with TSSA standards for peace of mind.",65,Party Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/colors.webp,tssa,,,
Froggy Fly Fling,"""Great for children's events, Froggy Fly Fling offers safe, interactive fun for young participants with easy setup and engaging play.""",99,Party Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/item-1769874588828.jpg,,3,,
Giant Connect Four,"Perfect for outdoor events, this oversized strategy game provides durable, competitive entertainment for guests of all ages during corporate gatherings or parties.",75,Party Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/giantconnect4.webp,,,,
Giant Operation,"Ideal for corporate team building and public festivals, this oversized classic test of skill provides professional, TSSA-compliant entertainment for all ages.",149,Party Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/operation-1770840669805.webp,tssa,6,,
Gone Fishin,"""Ideal for community events, this engaging game offers safe, enjoyable entertainment while encouraging friendly competition and coordination skills.""",200,Party Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/gone-fishing.webp,,,,
Large Trikes,"""Ideal for outdoor events, these large trikes offer thrilling rides for ages 8+, ensuring fun while complying with stringent safety standards.""",236,Party Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/trykes.webp,,8,,
Quarterback Toss,"Ideal for corporate events and team building, this professional sports challenge tests throwing accuracy with heavy-duty construction and TSSA-registered safety standards.",96,Party Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/quarterback-toss-1769874555151.jpg,tssa,,,
Rattle Snake Round Up,"Perfect for corporate outings and school carnivals, this professionally built frame game delivers safe, interactive competition for guests of all ages.",97,Party Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/rattle-snake-round-up-1769874504486.jpg,,,,
Tic Tac Toe,"""Ideal for corporate events, this Tic Tac Toe tub-game ensures fun-filled engagement while prioritizing safety and a smooth guest experience.""",65,Party Games,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/tictactoe.webp,,,,
6ft Rectangular Table,"Standard 6-foot banquet table seating 6-8 guests comfortably. Perfect for food service, registration, or dining at any event.",13,Tables & Chairs,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/table-rentals-windsor.webp,popular,,,
White Folding Chair,"Classic white resin folding chairs that pair with any table setup. Clean, sturdy, and comfortable for guests of all sizes.",3,Tables & Chairs,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/chairs.webp,popular,,,
Deluxe Mini Golf,"Ideal for events, our Deluxe Mini Golf offers engaging fun with safe play features, ensuring a memorable experience for all guests.",950,Mini Golf,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/deluxe-mini-golf-2.webp,,,,
Mini Golf 9 Hole,"Perfect for corporate team building and community events, this professional nine hole course offers portable, high quality entertainment for all skill levels.",423,Mini Golf,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/9holeminigolf.webp,,4,,
Dunk Tank,"Perfect for summer fundraisers and carnival events, this professional dunk tank offers high-impact excitement with built-in safety features for every participant.",350,Dunk Tanks,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/dunktank.webp,popular,10,,
Popcorn Machine,Commercial popcorn machine brings authentic carnival aroma to any event. Easy to operate. Includes supplies for first batch.,100,Concessions,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/28.webp,popular,,,
Snow Cone Machine,"Perfect for large corporate events or private parties, this professional-grade machine delivers high-capacity output with reliable performance for refreshing guest safety.",85,Concessions,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/27.webp,,,,
Anniversary Hearts,"Ideal for romantic milestones, these elegant signs provide a professional high-impact display to celebrate lasting commitments with durable and weather-resistant appeal.",125,Lawn Signs,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/yard-cards-windsor.webp,,,,
Balloons Lawn Sign,"Ideal for any birthday celebration, these colorful lawn signs provide professional, high-energy impact to your outdoor event with quick setup.",125,Lawn Signs,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/yard-cards-mothers-day.webp,,,,
Beer Mugs,"Perfect for celebrating a major milestone, these durable lawn signs offer a professional and fun way to toast any adult retirement party.",122,Lawn Signs,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/windsor-lawn-signs.webp,,,,
Buzzards,"Ideal for milestone retirement celebrations, these high-quality lawn signs provide a humorous and professional way to honor guests during outdoor events.",125,Lawn Signs,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/old-buzzard.webp,,,,
Flamingos,"""Great for birthday celebrations, these 15 flamingo signs add whimsy and charm to any lawn, delighting guests with vibrant year-round appeal.""",125,Lawn Signs,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/happy-birthday-2.webp,,,,
Golf Greeting,"""Ideal for celebrating retirements, these golf-themed signs add a playful touch to any lawn, ensuring memorable and photo-worthy moments.""",124,Lawn Signs,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/golfer-yard-card-2.webp,,,,
Grad Caps,"""Ideal for graduation celebrations, these vibrant lawn signs add a festive touch while being easy to install and safe for all ages.""",125,Lawn Signs,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/congrats-graduation.webp,,,,
It's A Boy,"""Ideal for celebrating new arrivals, this vibrant lawn sign set makes baby announcements memorable without the need for power. Safe for all.""",125,Lawn Signs,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/new-baby.webp,,,,
It's A Girl,"Ideal for celebrating new arrivals, this vibrant ""It's A Girl"" lawn sign set makes announcements special and memorable. Safe for all ages.",Choose A TSSA Licensed Item,Lawn Signs,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/it-s-a-girl.webp,tssa,,,
Smilies,"""Great for celebrating birthdays, these cheerful smiley signs transform any lawn into a festive scene, ensuring a memorable and delightful event.""",75,Lawn Signs,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/inflatablelawnsigns.webp,,,,
13x13 Colourful Castle,"Bright, versatile castle bounce house that fits any party theme. Spacious 13x13 design accommodates 6-8 kids at once. A crowd-pleasing classic.",Choose A TSSA Licensed Item,Bounce Houses,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/bounce-house/15x15-colourful-castle-1769231533047.jpg,tssa,3,12,8
Batman Bounce,Dark Knight-themed bouncer for superhero fans. Bold Gotham graphics and spacious jump area. A hit at superhero parties.,Choose A TSSA Licensed Item,Bounce Houses,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/batman.webp,tssa,3,12,8
Boot Camp,"Ideal for high-energy training missions, this rugged camouflage bounce house provides a safe and professional environment for active outdoor entertainment.",Choose A TSSA Licensed Item,Bounce Houses,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/bounce-house/20250517-112741.webp,tssa,10,,12
Race Car Bounce,Speedway-themed bouncer for young racing fans. Checkered flags and race car graphics fuel the excitement. Start your engines.,450,Bounce Houses,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/race-car.webp,tssa,3,10,8
15x15 Colourful Castle TSSA,"Bright, versatile castle bounce house that fits any party theme. Spacious 13x13 design accommodates 6-8 kids at once. A crowd-pleasing classic.",450,Bounce Houses,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/bounce-house/15x15-colourful-castle-1769231533047.jpg,tssa,3,12,8
Carousel Big Bounce,Oversized carousel-themed bouncer that commands attention at large events. Eye-catching circus design accommodates 10-12 kids.,495,Bounce Houses,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/bounce-house/carousel-big-bounce-1769233150213.png,,3,14,12
13x13 Colourful Castle TSSA,"Bright, versatile castle bounce house that fits any party theme. Spacious 15x15 design accommodates 6-8 kids at once. A crowd-pleasing classic.",450,Bounce Houses,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/bounce-house/15x15-colourful-castle-1769231533047.jpg,tssa,3,12,8
Disney Princess,Enchanting princess castle with beloved Disney characters. Perfect for princess parties. Vibrant royal colors and magical design.,Choose A TSSA Licensed Item,Bounce Houses,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/disney-princess.webp,tssa,3,10,8
